TransactionID,Product
1,Bread
1,Cereal
1,Milk
2,Butter
2,Juice
2,Milk
3,Milk
3,Juice
3,Butter
3,Bread
4,Cereal
4,Eggs
5,Bread
6,Milk
6,Bread
7,Bread
7,Juice
7,Butter
7,Cereal
8,Cheese
9,Juice
9,Butter
10,Cereal
10,Juice
10,Milk
11,Eggs
11,Milk
12,Milk
12,Eggs
12,Cheese
13,Cheese
13,Eggs
13,Bread
13,Milk
14,Eggs
15,Bread
15,Eggs
15,Cereal
15,Milk
16,Eggs
17,Bread
17,Butter
17,Cheese
17,Milk
18,Butter
19,Eggs
19,Cheese
19,Cereal
19,Bread
20,Butter
20,Milk
20,Bread
21,Butter
21,Juice
21,Bread
22,Cereal
23,Milk
23,Juice
24,Eggs
24,Juice
24,Bread
25,Cereal
25,Bread
25,Butter
26,Cereal
26,Milk
26,Cheese
27,Juice
27,Eggs
28,Cereal
28,Cheese
28,Juice
29,Bread
30,Cheese
30,Butter
30,Bread
31,Cereal
32,Eggs
32,Cereal
33,Cheese
33,Juice
33,Milk
33,Eggs
34,Cheese
35,Butter
35,Bread
36,Milk
36,Eggs
37,Juice
37,Bread
37,Cheese
38,Eggs
38,Milk
38,Cereal
38,Juice
39,Cereal
39,Cheese
39,Bread
40,Milk
41,Milk
41,Bread
41,Cereal
42,Cereal
43,Milk
43,Cheese
44,Eggs
44,Juice
44,Cereal
44,Cheese
45,Bread
46,Juice
47,Cheese
47,Bread
47,Juice
47,Eggs
48,Cheese
48,Milk
48,Bread
48,Juice
49,Juice
49,Eggs
49,Cereal
50,Juice
50,Bread
51,Bread
52,Cereal
53,Milk
53,Butter
54,Juice
54,Butter
54,Milk
55,Cereal
55,Bread
55,Eggs
56,Eggs
56,Cereal
56,Bread
57,Bread
57,Juice
58,Cereal
58,Bread
58,Butter
58,Eggs
59,Bread
60,Cheese
60,Butter
60,Juice
60,Cereal
61,Milk
61,Cheese
62,Cereal
62,Milk
62,Butter
63,Butter
63,Cereal
63,Cheese
63,Bread
64,Cheese
64,Butter
65,Eggs
66,Bread
67,Cheese
67,Butter
67,Cereal
67,Milk
68,Eggs
68,Milk
69,Juice
69,Cheese
69,Milk
69,Butter
70,Bread
70,Eggs
70,Milk
70,Juice
71,Juice
71,Milk
71,Eggs
71,Bread
72,Milk
72,Eggs
72,Cereal
73,Juice
73,Cheese
73,Cereal
74,Juice
75,Cereal
75,Eggs
76,Bread
76,Eggs
76,Butter
76,Juice
77,Milk
77,Bread
77,Butter
77,Eggs
78,Butter
78,Juice
79,Cheese
80,Eggs
80,Juice
80,Cereal
80,Bread
81,Milk
81,Eggs
81,Cereal
82,Cheese
82,Butter
82,Milk
83,Cereal
84,Cereal
84,Cheese
84,Milk
84,Juice
85,Bread
86,Cereal
87,Butter
87,Milk
87,Juice
88,Juice
88,Eggs
88,Butter
89,Butter
89,Cheese
90,Bread
